timestamp,amount,direction,category,liquidity_class
2025-10-15 11:00:00,200000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2025-12-15 11:00:00,180000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-02-15 11:00:00,150000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-04-15 11:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-05-15 11:00:00,50000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-07-15 11:00:00,20000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-08-15 11:00:00,10000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-09-10 11:00:00,5000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2025-11-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2025-12-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-01-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-02-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-03-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-04-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-05-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-06-20 15:00:00,40000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-06-28 17:00:00,60000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-07-28 17:00:00,60000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-08-28 17:00:00,60000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-09-18 17:00:00,60000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
