timestamp,amount,direction,category,liquidity_class
2025-10-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2025-11-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2025-12-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-01-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-02-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-03-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-04-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-05-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-06-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-07-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-08-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2026-09-15 10:00:00,100000.00,INFLOW,CLIENT_REVENUE,IMMEDIATE_CASH
2025-12-28 14:00:00,15000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-03-28 14:00:00,15000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-06-28 14:00:00,15000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-08-28 14:00:00,15000.00,OUTFLOW,PAYROLL,IMMEDIATE_CASH
2026-01-20 16:00:00,10000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-04-20 16:00:00,10000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-07-20 16:00:00,10000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
2026-09-05 16:00:00,10000.00,OUTFLOW,OPERATING_EXPENSE,IMMEDIATE_CASH
